Individual,Sp,Sex,PC1
CA.02280,MP,f,41.5674324
CA.02291,CPxMP,m,-81.02096558
CA.02296,CPxMP,m,-67.18881989
CA.02353,CPxMP,f,-70.140922545
CA.02356,CP,m,-116.9856644
CA.02358,MP,m,40.04078293
CA.02368,CP,f,-120.7475128
CA.02377,MP,m,31.639785765
CA.02378,MP,f,42.733667375
CA.02379,MP,m,38.26786232
CA.02380,MP,m,36.178804395
CA.02381,MP,m,30.60299683
CA.02382,CP,m,-118.1387177
CA.02390,CPxMP,f,-61.448997495
CA.02403,CPxMP,m,-68.57752991
CA.02406,CPxMP,m,-83.10906219
CA.02433,CPx(CPxMP),m,-113.3864517
CA.02434,CPx(CPxMP),m,-137.4657593
CA.02435,CPx(CPxMP),m,-91.82056427
CA.02443,CPx(CPxMP),m,-97.01876068
CA.02444,CPx(CPxMP),m,-91.33763123
CA.02446,CPx(CPxMP),m,-105.96658325
CA.02451,CPx(CPxMP),f,-87.722938535
CA.02452,CPx(CPxMP),f,-104.2966843
CA.02453,CPx(CPxMP),f,-36.61369705
CA.02454,CPx(CPxMP),m,-108.4181976
CA.02456,CPx(CPxMP),m,-109.1702805
CA.02457,CPx(CPxMP),m,-95.061035155
CA.02458,CPx(CPxMP),f,-98.298198705
CA.02460,CPx(CPxMP),f,-96.37908173
CA.02461,CPx(CPxMP),f,-108.58151625
CA.02464,CPx(CPxMP),m,-120.18252945
CA.02465,CPx(CPxMP),f,-106.46115115
CA.02466,CPx(CPxMP),m,-135.362381
CA.02467,CPx(CPxMP),m,-113.3667297
CA.02468,CPx(CPxMP),m,-119.2721786
CA.02469,CPx(CPxMP),f,-72.76005173
CA.02471,CPx(CPxMP),f,-107.4376869
CA.02472,CPx(CPxMP),m,-93.05217743
CA.02473,CPx(CPxMP),m,-134.7646637
CA.02474,CPx(CPxMP),f,-92.38150787
CA.02475,CPx(CPxMP),f,-112.374733
CA.02476,CPx(CPxMP),m,-120.14328
CA.02485,CPx(CPxMP),m,-116.3802948
CA.02495,CPx(CPxMP),f,-115.08741
CA.02511,CPx(CPxMP),f,-77.40968704
CA.02521,MPx(CPxMP),m,10.60686588
CA.02522,MPx(CPxMP),m,-22.23784637
CA.02523,CPx(CPxMP),m,-100.9258194
CA.02524,CPx(CPxMP),f,-70.16187286
CA.02525,CPx(CPxMP),m,-65.0324173
CA.02527,CPx(CPxMP),f,-83.07221985
CA.02528,MPx(CPxMP),m,15.8937006
CA.02529,MPx(CPxMP),m,25.744728085
CA.02530,MPx(CPxMP),m,17.551288605
CA.02531,CPx(CPxMP),m,-110.5485306
CA.02532,MPx(CPxMP),m,-2.551044703
CA.02533,MPx(CPxMP),m,11.6778264055
CA.02534,MPx(CPxMP),m,32.75199509
CA.02535,CPx(CPxMP),m,-120.783905
CA.02536,CPx(CPxMP),m,-125.7634201
CA.02537,CPx(CPxMP),f,-106.3965607
CA.02538,CPx(CPxMP),m,-127.3831329
CA.02539,MPx(CPxMP),m,27.4717598
CA.02542,MPx(CPxMP),m,19.46482277
CA.02543,MPx(CPxMP),m,42.49689865
CA.02544,MPx(CPxMP),m,18.0222559
CA.02545,MPx(CPxMP),m,44.177137375
CA.02546,MPx(CPxMP),m,-12.46262169
CA.02547,CPx(CPxMP),m,-126.7063828
CA.02548,CPx(CPxMP),f,-110.18507385
CA.02549,CPx(CPxMP),m,-119.3815689
CA.02550,CPx(CPxMP),m,-109.2054596
CA.02551,MPx(CPxMP),m,-34.24300385
CA.02554,MPx(CPxMP),m,24.10248184
CA.02555,MPx(CPxMP),m,-35.90998077
CA.02556,MPx(CPxMP),m,-36.31943893
CA.02557,MPx(CPxMP),m,-28.7657814
CA.02558,MPx(CPxMP),m,-28.09822464
CA.02559,MPx(CPxMP),m,-13.6073637
CA.02560,MPx(CPxMP),m,-57.71380615
CA.02561,MPx(CPxMP),m,-9.183289528
CA.02562,CPx(CPxMP),m,-106.7999573
CA.02563,CPx(CPxMP),m,-125.24109265
CA.02564,CPx(CPxMP),m,-122.9634705
CA.02565,MPx(CPxMP),m,18.06398964
CA.02566,MPx(CPxMP),m,-39.62125397
CA.02567,MPx(CPxMP),m,20.93123341
CA.02569,MPx(CPxMP),m,-5.461290836
CA.02570,MPx(CPxMP),f,-21.56560898
CA.02573,MPx(CPxMP),m,-13.6497097
CA.02574,CPx(CPxMP),f,-115.9016342
